syllabus_id,syllabus_name,technical_group,target_audience,syllabus_objectives,syllabus_materials,unit_name,unit_title,unit_objectives,unit_materials,topic_name,topic_title,topic_objectives,topic_materials,fetched_at
108484,Harvard_HMM - version 1,Others,,,,,,,,,,,,2026-04-15T17:17:49
108483,Harvard_Spark - version 1,Others,,,,,,,,,,,,2026-04-15T17:17:49
108482,FSU/BU Sharing2026 - version 1,Others,,,,,,,,,,,,2026-04-15T17:17:49
108453,Upskilling Program - version 1,Others/Others,,,,,,,,,,,,2026-04-15T17:17:49
108451,Upskilling Program - version 1,Others/Others,,,,,,,,,,,,2026-04-15T17:17:49
108406,Upskilling Program - version 1,Others/Others,,,,,,,,,,,,2026-04-15T17:17:49
108242,English Everyday - version 4,Natural Language/English,None,None 0000,,Modulelinhcheck02,Modulelinhcheck02/Others,Modulelinhcheck04,,Topiclinh02,Topiclinh02/Others,Topiclinh04,,2026-04-15T17:17:49
108242,English Everyday - version 4,Natural Language/English,None,None 0000,,Modulelinhcheck02,Modulelinhcheck02/Others,Modulelinhcheck04,,Topiclinh03,Topiclinh03/Others,Topiclinh05,,2026-04-15T17:17:49
108242,English Everyday - version 4,Natural Language/English,None,None 0000,,Modulelinhcheck02,Modulelinhcheck02/Others,Modulelinhcheck04,,Topiclinh04,Topiclinh04/Others,Topiclinh06,,2026-04-15T17:17:49
108242,English Everyday - version 4,Natural Language/English,None,None 0000,,English Everyday,English Everyday/Natural Language/English,None,,English Everyday,English Everyday/Natural Language/English,None,,2026-04-15T17:17:49
108242,English Everyday - version 4,Natural Language/English,None,None 0000,,Real-World Automative Automation Project and Best Practices,Real-World Automative Automation Project and Best Practices/Natural Language/English,"- Gain a foundational understanding of Python programming, including variables, data types, control structures, functions, and basic libraries.
- Develop the skills needed to write simple Python programs to solve problems and perform tasks efficiently.
- Understand core programming concepts such as loops, conditional statements, and error handling, which form the building blocks for creating automation tools.
- Be prepared to advance to the next level, where they can start building automation scripts and tools aimed at reducing manual work and increasing productivity.",,,,,,2026-04-15T17:17:49
108242,English Everyday - version 4,Natural Language/English,None,None 0000,,3333,3333/Softskill,111\\,,,,,,2026-04-15T17:17:49
108366,Upskilling Program - version 1,Others/Others,,,,,,,,,,,,2026-04-15T17:17:49
108346,Upskilling Program - version 1,Others/Others,,,,,,,,,,,,2026-04-15T17:17:49
108333,FPT_ORE for Renew by ISM (Vietnamese) - version 1,Natural Language/English,None,None 0000,,,,,,,,,,2026-04-15T17:17:49
108331,FPT_ORE for Renew by ISM (English) - version 1,Natural Language/English,None,None 0000,,,,,,,,,,2026-04-15T17:17:49
108329,FPT_ORE for New Onsiter by ISM (Vietnamese) - version 1,Natural Language/English,None,None 0000,,,,,,,,,,2026-04-15T17:17:49
108327,FPT_ORE for New Onsiter by ISM (English) - version 1,Natural Language/English,None,None 0000,,Linh 01,Linh 01/Others,123,,,,,,2026-04-15T17:17:49
108288,linhfixbug - version 1,Others,linhfixbug,linhfixbug,,Modulelinhcheck02,Modulelinhcheck02/Others,Modulelinhcheck04,,Topiclinh05,Topiclinh05/Others,Topiclinh07,,2026-04-15T17:17:49
